[2025-11-26 23:57:41] [WARNING ] [ShellScript  ] : LIMPEZA COMPLETA REALIZADA
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoding b'?\xe1\x1f\x88a\x96\xdf=\xbfJ\t\xd54\x9f\xba\x82\x00\x9bP\x02\xb8\xdb\xb7\x1b\x02\x98\xb4o_\x96\x1du\xd0b\r&=LtA\xea\xfbP\x93\x8e\xc4\x150Z\x99V{\\\x012v\x87%\x07\xb6Ih\x1d\x85^\x03*/*@\x85$\xabX?_\x8f|m\x15\xb23,\x84~2\x84q\xad\x8bo\x0f@\x8a$\xab\x10d\x9c\xab!#M\xa8\x86\xbf\xcfL:2^x\xa0\xa4~V\x1c\xc5\x81\x90\xb6\xcb\x80\x00>\xd45D\xa2\xd9\x0b\xba\xd8\xef\x9e\x91\x9a\xa4}\xa9]\x85\xa0\xe3\x93@\x8b!\xeaIjJ\xd5\xd8yMA\x7f\x85\xae\xd8\xe81?@\x8d\xae\xc2\xca[\x0bQ\n\xb0\xeb\xae\x83\x16O\x8f\xb0\xa9\xb6\xca\xa0\xb0\xb5\xd8T\x16\xa4\x8d&=_@\x8dDkL4\x97\xc0\xfd-\xdc\xb6 \xc7\xab\x011@\x8aDkWa\xfa\x14\x89Z\xc2\xcb\x90\xb2\xdag\xedGCIO\x8e\xa4OC\xf4\xed\'\x8f@\x8aDkX^\xd6\x95\tX\xd2\x7f\x9a\x00_\x19\x19d\xab\x15\x92\x8dgC+\x8b>\'\xa4Y\xa1\xbc\xe3mH\xcb\xcd\x95\x9f@\x90\xf2\xb1\x0fRKRVO\xaa\xca\xb1\xebI\x8fR?\x85\xa8\xe8\xa8\xd2\xcb@\x8f\xf2\xb1j\xee\x7fK\r)-5\xa5b\x1e\xda\x93\x011@\x95\xf2\xb1j\xee\x7fK[Z\x13aGJ\xc8-\x9d\xccB\xac\x93R_\x0253w\xffX\x8a"K\x14t\xc1\x93\xaf\x9c\x10\x9f\r}\x1e\xe3\x9f$h\xe5\'\xa8\xa9\xcd\xaf\xc1\xbf:\xf1\xab\xd8\t\xa3\xf6\x17j\xc3F[\xb0\xb3\xc1`\xba\xe3B\x08\x84\xe8\x16\n\xe0\\+\x85`\x9e\xc2?\xf9\x93\x9e\x8e;\xfb\x83\xce\xfd\xcb\xf9\xfd\x8a\xf6\x7f&\xef\x9b\x08\x8d\xa7\xbb\x97\xbbz\xbf\xc98\xfc/\xfb6N=\x9a\xe5\xf9\xa2\x1f\xcd\x1e\xf297a\xf4\xeb\x08\xef\x93\x96\xc2\x8a\x8bz\xf4o7\x0e\xce7\xdd\xac\x9395_\x9da\xef\xebg\n\r\x12\x1e\xc4\x02qs5\\\x81\xf6\xa5cL\xf01\xf6\xa1|\xd6k\n\x887\xcfo\xd2\x82um\'\xee\xb0\x9bP\x0c\xdc\x13\xb7\x1b\x02\x98\xb4o\xfbRC\xd23U\x02\xe8\xb6\xb1\xc64\x15r\x1f\xedLiMz\xaa\xa3\xd7\xda\x9b\x8aKl/\xda\x9b\x87Iw\x19%\x83I\xea/{\x8b\x84\x84-i[\x05D<\x86\xaao@\x85\x1d\tY\x1d\xc9\x90\x9d\x98?\x9b\x8d4\xcf\xf3\xf6\xa5#\x81\xe7\x1a\x00?'
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded 4096, consumed 3 bytes
[2025-11-26 23:57:51] [DEBUG   ] [hpack.table] : Resizing header table to 4096 from 4096
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded 8, consumed 1 bytes
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded (b':status', b'200'), consumed 1
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded 33, consumed 1 bytes
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded 22, consumed 1 bytes
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded (b'date', b'Thu, 27 Nov 2025 02:57:50 GMT'), total consumed 24 bytes, indexed True
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded 31, consumed 1 bytes
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded 22, consumed 1 bytes
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded (b'content-type', b'application/json; charset=utf-8'), total consumed 24 bytes, indexed True
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded 28, consumed 1 bytes
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded 1, consumed 1 bytes
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded (b'content-length', <memory at 0x76cd10ad5000>), total consumed 3 bytes, indexed True
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded 54, consumed 1 bytes
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded 7, consumed 1 bytes
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded (b'server', b'cloudflare'), total consumed 9 bytes, indexed True
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded 30, consumed 1 bytes
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded 3, consumed 1 bytes
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded (b'content-range', <memory at 0x76cd10ad50c0>), total consumed 5 bytes, indexed True
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded 5, consumed 1 bytes
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded 15, consumed 1 bytes
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded (b'cf-ray', b'9a4e5c3fdc9be1ab-GRU'), total consumed 23 bytes, indexed True
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded 10, consumed 1 bytes
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded 6, consumed 1 bytes
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded (b'cf-cache-status', b'DYNAMIC'), total consumed 19 bytes, indexed True
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded 56, consumed 1 bytes
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded 32, consumed 1 bytes
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded (b'strict-transport-security', b'max-age=31536000; includeSubDomains; preload'), total consumed 34 bytes, indexed True
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded 11, consumed 1 bytes
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded 5, consumed 1 bytes
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded (b'content-profile', b'public'), total consumed 19 bytes, indexed True
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded 13, consumed 1 bytes
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded 15, consumed 1 bytes
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded (b'preference-applied', b'return=representation'), total consumed 31 bytes, indexed True
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded 13, consumed 1 bytes
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded 1, consumed 1 bytes
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded (b'sb-gateway-version', <memory at 0x76cd10ad4f40>), total consumed 17 bytes, indexed True
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded 10, consumed 1 bytes
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded 16, consumed 1 bytes
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded (b'sb-project-ref', b'rumhqljidmwkctjojqdw'), total consumed 29 bytes, indexed True
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded 10, consumed 1 bytes
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded 26, consumed 1 bytes
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded (b'sb-request-id', b'019ac33e-e3ea-71f6-928d-4a8654d385e3'), total consumed 39 bytes, indexed True
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded 16, consumed 1 bytes
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded 5, consumed 1 bytes
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded (b'x-content-type-options', b'nosniff'), total consumed 24 bytes, indexed True
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded 15, consumed 1 bytes
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded 1, consumed 1 bytes
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded (b'x-envoy-attempt-count', <memory at 0x76cd10ad5240>), total consumed 19 bytes, indexed True
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded 21, consumed 1 bytes
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded 2, consumed 1 bytes
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded (b'x-envoy-upstream-service-time', <memory at 0x76cd10ad5180>), total consumed 26 bytes, indexed True
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded 55, consumed 1 bytes
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded 215, consumed 2 bytes
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded (b'set-cookie', b'__cf_bm=IkxEAoFpj8VLIbsWdy_mKPwiXkVnz0cMZA7nFlJBA3U-1764212270-1.0.1.1-1orc9XIYMVTv0xTS.xZ_CLxivKF2iNv6CqyDWtHw.ZgIVq4WXMAXMzI6gqajkAaDcWQe2lukj5KUq65v4Ig6gnXkAvyQUli_s8G0cV6KnW0; path=/; expires=Thu, 27-Nov-25 03:27:50 GMT; domain=.supabase.co; HttpOnly; Secure; SameSite=None'), total consumed 218 bytes, indexed True
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded 59, consumed 1 bytes
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded 11, consumed 1 bytes
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded (b'vary', b'Accept-Encoding'), total consumed 13 bytes, indexed True
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded 5, consumed 1 bytes
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded 16, consumed 1 bytes
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Decoded (b'alt-svc', b'h3=":443"; ma=86400'), total consumed 24 bytes, indexed True
